id,name
GO:0003774,motor activity
GO:0004035,alkaline phosphatase activity
GO:0004104,cholinesterase activity
GO:0004111,creatine kinase activity
GO:0004177,aminopeptidase activity
GO:0004457,lactate dehydrogenase activity
GO:0005488,binding
GO:0008252,nucleotidase activity
GO:0008483,transaminase activity
GO:0016407,acetyltransferase activity
GO:0016740,transferase activity
GO:0032451,demethylase activity
